obstruction,18nh00000601,GST_B_3_1,Abe_Tagami_D_nm,Hom_Park_P
homotopy_ribbon_pi1,APPLIES BUT VANISHES,APPLIES BUT VANISHES,APPLIES AND OBSTRUCTS,APPLIES AND OBSTRUCTS
fibered_monodromy,APPLIES BUT VANISHES,UNKNOWN,APPLIES AND OBSTRUCTS,APPLIES AND OBSTRUCTS
Casson_Gordon,APPLIES BUT VANISHES,APPLIES BUT VANISHES,COMPUTED / INCONCLUSIVE,NOT YET COMPUTED
metabelian_twisted_Alexander,APPLIES BUT VANISHES,APPLIES BUT VANISHES,NOT YET COMPUTED,NOT YET COMPUTED
irregular_dihedral,HYPOTHESES FAIL,HYPOTHESES FAIL,NOT YET COMPUTED,NOT YET COMPUTED
Turaev_multiplace,NOT YET COMPUTED,NOT YET COMPUTED,NOT YET COMPUTED,NOT YET COMPUTED
derived_polycyclic,HYPOTHESES FAIL,HYPOTHESES FAIL,UNKNOWN,UNKNOWN
equivariant_Floer,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
unlink_derivative,NOT YET COMPUTED,NOT YET COMPUTED,APPLIES AND OBSTRUCTS,APPLIES AND OBSTRUCTS
handle_ribbon_R_link,APPLIES BUT VANISHES,APPLIES BUT VANISHES,UNKNOWN,UNKNOWN
minimum_height,HYPOTHESES FAIL,UNKNOWN,NOT YET COMPUTED,NOT YET COMPUTED
ribbon_search_number,COMPUTED / INCONCLUSIVE,COMPUTED / INCONCLUSIVE,UNKNOWN,UNKNOWN
Alexander_Fox_Milnor,APPLIES BUT VANISHES,APPLIES BUT VANISHES,APPLIES BUT VANISHES,APPLIES BUT VANISHES
stable_handleslide,COMPUTED / INCONCLUSIVE,COMPUTED / INCONCLUSIVE,HYPOTHESES FAIL,HYPOTHESES FAIL
