name,num_cross,alt,volume,det,alex,genus3,fibered,slice,ribbon,top_slice,tau,nu,epsilon,s_0,s_2,s_3,HKL_ribbon_obs,PD_codes
K13n3871,13,0,16.79964917069185,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,15,3,16],[8,3,9,4],[4,9,5,10],[14,5,15,6],[16,8,17,7],[23,10,24,11],[11,19,12,18],[19,13,20,12],[13,24,14,25],[17,23,18,22],[25,21,26,20],[21,1,22,26]]"
K13n3872,13,0,16.79964917069185,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,15,3,16],[8,3,9,4],[4,9,5,10],[14,5,15,6],[16,8,17,7],[19,10,20,11],[11,25,12,24],[25,13,26,12],[13,20,14,21],[17,23,18,22],[23,19,24,18],[21,1,22,26]]"
K13n3897,13,0,16.79964917069185,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,16,3,15],[8,3,9,4],[4,9,5,10],[16,6,17,5],[14,7,15,8],[23,10,24,11],[11,18,12,19],[19,12,20,13],[13,22,14,23],[17,25,18,24],[25,21,26,20],[21,1,22,26]]"
K13n3936,13,0,16.79964917069185,1,1,3,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,21,3,22],[8,3,9,4],[4,9,5,10],[20,5,21,6],[22,8,23,7],[15,11,16,10],[11,25,12,24],[25,13,26,12],[13,19,14,18],[19,15,20,14],[23,16,24,17],[17,26,18,1]]"
K13n4582,13,0,15.575456452120118,1,1,3,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,11,3,12],[10,3,11,4],[21,4,22,5],[5,22,6,23],[12,8,13,7],[17,9,18,8],[9,17,10,16],[26,14,1,13],[14,24,15,23],[20,16,21,15],[18,25,19,26],[24,19,25,20]]"
K13n65,13,0,16.934496920522793,1,1,3,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,9,3,10],[8,3,9,4],[10,6,11,5],[6,15,7,16],[14,7,15,8],[11,21,12,20],[25,13,26,12],[13,18,14,19],[23,17,24,16],[17,23,18,22],[19,1,20,26],[21,24,22,25]]"
K14n10011,14,0,20.01337908219946,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,11,3,12],[10,3,11,4],[16,5,17,6],[6,17,7,18],[12,8,13,7],[8,20,9,19],[20,10,21,9],[18,13,19,14],[25,14,26,15],[15,24,16,25],[21,27,22,26],[27,23,28,22],[23,1,24,28]]"
K14n11063,14,0,19.197447971713284,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,11,3,12],[10,3,11,4],[16,5,17,6],[23,6,24,7],[7,20,8,21],[25,9,26,8],[14,10,15,9],[12,18,13,17],[18,14,19,13],[28,15,1,16],[19,25,20,24],[21,26,22,27],[27,22,28,23]]"
K14n18909,14,0,19.197447971713284,1,1,3,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,17,3,18],[16,3,17,4],[10,5,11,6],[6,11,7,12],[18,8,19,7],[8,16,9,15],[28,9,1,10],[25,13,26,12],[13,20,14,21],[23,14,24,15],[19,24,20,25],[21,27,22,26],[27,23,28,22]]"
K14n18911,14,0,19.197447971713284,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,17,3,18],[16,3,17,4],[10,5,11,6],[6,11,7,12],[18,8,19,7],[8,16,9,15],[28,9,1,10],[23,12,24,13],[13,26,14,27],[21,15,22,14],[19,25,20,24],[25,21,26,20],[27,22,28,23]]"
K14n21673,14,0,18.994892262425047,1,1,3,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,19,3,20],[10,3,11,4],[4,18,5,17],[12,6,13,5],[7,26,8,27],[21,9,22,8],[9,25,10,24],[18,11,19,12],[13,1,14,28],[27,15,28,14],[15,22,16,23],[23,16,24,17],[25,21,26,20]]"
K14n3713,14,0,18.210354215521622,9,t^4-2*t^3+3*t^2-2*t+1,4,0,0,0,0,0,0,0,0,0,0,,"[[4,2,5,1],[2,8,3,7],[8,4,9,3],[5,15,6,14],[15,7,16,6],[20,9,21,10],[10,23,11,24],[24,11,25,12],[17,12,18,13],[13,18,14,19],[19,16,20,17],[26,22,27,21],[22,28,23,27],[28,26,1,25]]"
K14n4425,14,0,20.0722569550016,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,8,3,7],[8,4,9,3],[14,5,15,6],[6,15,7,16],[9,27,10,26],[21,11,22,10],[11,19,12,18],[23,12,24,13],[13,24,14,25],[25,16,26,17],[17,22,18,23],[19,28,20,1],[27,20,28,21]]"
K14n4621,14,0,18.251164891286884,9,t^4-2*t^3+3*t^2-2*t+1,3,0,0,0,0,0,0,0,0,0,0,,"[[4,2,5,1],[2,9,3,10],[8,3,9,4],[14,5,15,6],[6,15,7,16],[10,8,11,7],[11,25,12,24],[17,12,18,13],[13,22,14,23],[23,16,24,17],[27,19,28,18],[19,27,20,26],[25,21,26,20],[21,1,22,28]]"
K14n5486,14,0,17.675829254944805,1,1,3,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,8,3,7],[8,4,9,3],[16,6,17,5],[6,16,7,15],[9,24,10,25],[23,10,24,11],[11,22,12,23],[19,12,20,13],[13,18,14,19],[25,14,26,15],[17,26,18,27],[20,28,21,27],[28,22,1,21]]"
K14n9023,14,0,19.197447971713284,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,11,3,12],[10,3,11,4],[14,6,15,5],[25,7,26,6],[7,20,8,21],[23,8,24,9],[16,9,17,10],[12,17,13,18],[18,13,19,14],[28,16,1,15],[19,24,20,25],[21,27,22,26],[27,23,28,22]]"
K15n103703,15,0,17.53053740777909,1,1,3,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,15,3,16],[14,3,15,4],[5,21,6,20],[25,7,26,6],[7,27,8,26],[19,9,20,8],[30,10,1,9],[10,30,11,29],[28,12,29,11],[23,12,24,13],[13,22,14,23],[21,16,22,17],[17,24,18,25],[27,18,28,19]]"
K15n110439,15,0,18.804133925257,1,1,3,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,17,3,18],[16,3,17,4],[5,13,6,12],[11,7,12,6],[7,22,8,23],[29,9,30,8],[9,21,10,20],[27,10,28,11],[13,18,14,19],[14,25,15,26],[24,15,25,16],[19,26,20,27],[21,29,22,28],[30,24,1,23]]"
K15n11287,15,0,22.40375195111012,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,9,3,10],[8,3,9,4],[12,6,13,5],[6,19,7,20],[16,7,17,8],[10,17,11,18],[18,11,19,12],[13,25,14,24],[29,15,30,14],[15,22,16,23],[27,21,28,20],[21,27,22,26],[23,1,24,30],[25,28,26,29]]"
K15n115646,15,0,-1.0,9,2*t^2-5*t+2,1,0,-1,-1,0,0,0,0,2,2,2,,"[[4,2,5,1],[2,18,3,17],[18,4,19,3],[10,6,11,5],[6,14,7,13],[7,22,8,23],[21,8,22,9],[14,10,15,9],[11,30,12,1],[29,12,30,13],[15,26,16,27],[25,16,26,17],[24,20,25,19],[20,28,21,27],[28,24,29,23]]"
K15n11568,15,0,22.40375195111012,1,1,3,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,9,3,10],[8,3,9,4],[12,6,13,5],[6,27,7,28],[24,7,25,8],[10,25,11,26],[26,11,27,12],[13,16,14,17],[21,15,22,14],[15,21,16,20],[17,30,18,1],[23,19,24,18],[19,29,20,28],[29,23,30,22]]"
K15n11570,15,0,22.40375195111012,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,9,3,10],[8,3,9,4],[12,6,13,5],[6,27,7,28],[24,7,25,8],[10,25,11,26],[26,11,27,12],[13,19,14,18],[29,15,30,14],[15,23,16,22],[21,17,22,16],[17,1,18,30],[19,28,20,29],[23,20,24,21]]"
K15n117232,15,0,21.452472277651736,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[4,2,5,1],[2,18,3,17],[18,4,19,3],[5,15,6,14],[13,7,14,6],[7,30,8,1],[19,8,20,9],[9,24,10,25],[27,10,28,11],[11,23,12,22],[21,13,22,12],[26,16,27,15],[16,26,17,25],[29,20,30,21],[23,28,24,29]]"
K15n120055,15,0,20.322663016604395,1,1,5,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,8,3,7],[8,4,9,3],[4,15,5,16],[14,5,15,6],[9,25,10,24],[17,11,18,10],[11,19,12,18],[29,13,30,12],[13,22,14,23],[25,16,26,17],[19,26,20,27],[27,20,28,21],[21,28,22,29],[23,1,24,30]]"
K15n121598,15,0,21.11236720854644,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,8,3,7],[8,4,9,3],[4,17,5,18],[16,5,17,6],[9,27,10,26],[19,11,20,10],[11,28,12,29],[23,12,24,13],[13,22,14,23],[21,14,22,15],[15,24,16,25],[27,18,28,19],[29,21,30,20],[25,1,26,30]]"
K15n121834,15,0,20.29857064745505,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,17,3,18],[8,3,9,4],[4,9,5,10],[16,5,17,6],[18,8,19,7],[27,10,28,11],[11,21,12,20],[23,13,24,12],[13,23,14,22],[21,15,22,14],[15,28,16,29],[19,27,20,26],[29,25,30,24],[25,1,26,30]]"
K15n121916,15,0,20.29857064745505,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,17,3,18],[8,3,9,4],[4,9,5,10],[16,5,17,6],[18,8,19,7],[21,10,22,11],[11,27,12,26],[29,13,30,12],[13,29,14,28],[27,15,28,14],[15,22,16,23],[19,25,20,24],[25,21,26,20],[23,1,24,30]]"
K15n122603,15,0,20.29857064745505,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,18,3,17],[8,3,9,4],[4,9,5,10],[18,6,19,5],[16,7,17,8],[27,10,28,11],[11,20,12,21],[23,12,24,13],[13,22,14,23],[21,14,22,15],[15,26,16,27],[19,29,20,28],[29,25,30,24],[25,1,26,30]]"
K15n123414,15,0,20.29857064745505,1,1,3,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,23,3,24],[8,3,9,4],[4,9,5,10],[22,5,23,6],[24,8,25,7],[17,11,18,10],[11,27,12,26],[29,13,30,12],[13,29,14,28],[27,15,28,14],[15,21,16,20],[21,17,22,16],[25,18,26,19],[19,30,20,1]]"
K15n124496,15,0,19.571313040366807,1,1,3,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,12,3,11],[10,4,11,3],[4,10,5,9],[12,6,13,5],[16,7,17,8],[8,17,9,18],[13,23,14,22],[29,14,30,15],[15,24,16,25],[27,18,28,19],[19,26,20,27],[25,20,26,21],[21,28,22,29],[23,1,24,30]]"
K15n124640,15,0,23.09449958623218,1,1,4,0,0,0,1,0,0,0,0,0,0,,"[[6,2,7,1],[2,25,3,26],[10,3,11,4],[4,24,5,23],[12,6,13,5],[7,17,8,16],[27,9,28,8],[9,18,10,19],[24,11,25,12],[22,14,23,13],[29,14,30,15],[15,21,16,20],[17,26,18,27],[19,29,20,28],[21,30,22,1]]"
