step=16 boundary=12 states=131 seconds=0.000433513
step=32 boundary=18 states=4385 seconds=0.0193632
step=48 boundary=18 states=4818 seconds=0.0821718
step=64 boundary=16 states=1430 seconds=0.127148
step=80 boundary=16 states=1430 seconds=0.14582
step=96 boundary=20 states=16135 seconds=0.232321
step=112 boundary=22 states=58553 seconds=0.930064
step=128 boundary=16 states=1430 seconds=3.2037
step=144 boundary=18 states=4830 seconds=3.26132
step=160 boundary=20 states=16643 seconds=3.49697
step=176 boundary=22 states=56773 seconds=4.74253
step=192 boundary=24 states=207299 seconds=10.6077
step=208 boundary=24 states=207737 seconds=17.1583
step=224 boundary=24 states=205810 seconds=23.8672
step=240 boundary=24 states=207602 seconds=31.0513
