step=16 boundary=12 states=131 seconds=0.000239221
step=32 boundary=18 states=4385 seconds=0.011577
step=48 boundary=18 states=4817 seconds=0.04812
step=64 boundary=16 states=1430 seconds=0.0728013
step=80 boundary=16 states=1394 seconds=0.0825918
step=96 boundary=20 states=15754 seconds=0.13352
step=112 boundary=22 states=56354 seconds=0.480567
step=128 boundary=16 states=1429 seconds=1.70031
step=144 boundary=18 states=4715 seconds=1.73615
step=160 boundary=20 states=15174 seconds=1.86951
step=176 boundary=22 states=48050 seconds=2.43417
step=192 boundary=24 states=194721 seconds=5.54482
step=208 boundary=24 states=200196 seconds=9.90271
step=224 boundary=24 states=182948 seconds=14.738
step=240 boundary=24 states=183426 seconds=19.1004
step=256 boundary=24 states=158844 seconds=23.7132
step=272 boundary=20 states=14539 seconds=27.137
step=288 boundary=0 states=1 seconds=27.165
