90 0 0
2 3 60 66
60 4 61 67
61 5 6 68
1 66 62 69
62 67 63 70
63 68 7 71
0 69 64 11
64 70 65 10
65 71 8 9
9 12 72 78
72 13 73 79
73 14 15 80
10 78 74 81
74 79 75 82
75 80 16 83
11 81 76 20
76 82 77 19
77 83 17 18
23 24 84 90
84 25 85 91
85 26 27 92
22 90 86 93
86 91 87 94
87 92 28 95
21 93 88 32
88 94 89 31
89 95 29 30
12 33 96 102
96 34 97 103
97 35 36 104
13 102 98 105
98 103 99 106
99 104 37 107
14 105 100 27
100 106 101 28
101 107 38 29
6 5 108 114
108 4 109 115
109 3 39 116
7 114 110 117
110 115 111 118
111 116 40 119
8 117 112 33
112 118 113 34
113 119 41 35
30 38 120 126
120 37 121 127
121 36 42 128
31 126 122 129
122 127 123 130
123 128 43 131
32 129 124 21
124 130 125 22
125 131 44 23
39 45 132 138
132 46 133 139
133 47 26 140
40 138 134 141
134 139 135 142
135 140 25 143
41 141 136 42
136 142 137 43
137 143 24 44
45 51 144 150
144 52 145 151
145 53 20 152
46 150 146 153
146 151 147 154
147 152 19 155
47 153 148 15
148 154 149 16
149 155 18 17
59 48 156 162
156 49 157 163
157 50 50 164
58 162 158 165
158 163 159 166
159 164 49 167
57 165 160 51
160 166 161 52
161 167 48 53
0 54 168 174
168 55 169 175
169 56 56 176
1 174 170 177
170 175 171 178
171 176 55 179
2 177 172 57
172 178 173 58
173 179 54 59
74 73 77 76 75 72 80 79 78 64 63 65 88 89 87 81 84 85 82 86 83 66 67 68 70 71 17 69 16 15 14 6 11 13 10 12 9 7 8 3 4 0 1 5 2 36 39 42 27 30 33 37 38 40 43 54 55 41 57 44 56 58 20 28 59 31 29 34 60 47 32 46 19 35 45 23 26 61 50 49 22 48 25 62 18 53 52 21 51 24
