160 0 0
3 4 80 92
80 5 81 93
81 6 82 94
82 7 8 95
2 92 83 96
83 93 84 97
84 94 85 98
85 95 9 99
1 96 86 100
86 97 87 101
87 98 88 102
88 99 10 103
0 100 89 15
89 101 90 14
90 102 91 13
91 103 11 12
12 16 104 116
104 17 105 117
105 18 106 118
106 19 20 119
13 116 107 120
107 117 108 121
108 118 109 122
109 119 21 123
14 120 110 124
110 121 111 125
111 122 112 126
112 123 22 127
15 124 113 27
113 125 114 26
114 126 115 25
115 127 23 24
31 32 128 140
128 33 129 141
129 34 130 142
130 35 36 143
30 140 131 144
131 141 132 145
132 142 133 146
133 143 37 147
29 144 134 148
134 145 135 149
135 146 136 150
136 147 38 151
28 148 137 43
137 149 138 42
138 150 139 41
139 151 39 40
16 44 152 164
152 45 153 165
153 46 154 166
154 47 48 167
17 164 155 168
155 165 156 169
156 166 157 170
157 167 49 171
18 168 158 172
158 169 159 173
159 170 160 174
160 171 50 175
19 172 161 36
161 173 162 37
162 174 163 38
163 175 51 39
8 7 176 188
176 6 177 189
177 5 178 190
178 4 52 191
9 188 179 192
179 189 180 193
180 190 181 194
181 191 53 195
10 192 182 196
182 193 183 197
183 194 184 198
184 195 54 199
11 196 185 44
185 197 186 45
186 198 187 46
187 199 55 47
40 51 200 212
200 50 201 213
201 49 202 214
202 48 56 215
41 212 203 216
203 213 204 217
204 214 205 218
205 215 57 219
42 216 206 220
206 217 207 221
207 218 208 222
208 219 58 223
43 220 209 28
209 221 210 29
210 222 211 30
211 223 59 31
52 60 224 236
224 61 225 237
225 62 226 238
226 63 35 239
53 236 227 240
227 237 228 241
228 238 229 242
229 239 34 243
54 240 230 244
230 241 231 245
231 242 232 246
232 243 33 247
55 244 233 56
233 245 234 57
234 246 235 58
235 247 32 59
60 68 248 260
248 69 249 261
249 70 250 262
250 71 27 263
61 260 251 264
251 261 252 265
252 262 253 266
253 263 26 267
62 264 254 268
254 265 255 269
255 266 256 270
256 267 25 271
63 268 257 20
257 269 258 21
258 270 259 22
259 271 24 23
79 64 272 284
272 65 273 285
273 66 274 286
274 67 67 287
78 284 275 288
275 285 276 289
276 286 277 290
277 287 66 291
77 288 278 292
278 289 279 293
279 290 280 294
280 291 65 295
76 292 281 68
281 293 282 69
282 294 283 70
283 295 64 71
0 72 296 308
296 73 297 309
297 74 298 310
298 75 75 311
1 308 299 312
299 309 300 313
300 310 301 314
301 311 74 315
2 312 302 316
302 313 303 317
303 314 304 318
304 315 73 319
3 316 305 76
305 317 306 77
306 318 307 78
307 319 72 79
131 147 135 130 134 138 139 129 133 137 136 132 128 143 142 141 140 146 151 150 159 155 154 158 157 153 149 145 156 152 144 148 115 114 113 112 119 118 117 116 12 8 4 28 29 0 30 123 122 121 120 126 127 31 125 124 27 23 26 25 24 13 19 22 18 21 9 5 17 20 16 14 1 10 15 6 2 11 7 3 64 65 66 68 67 96 97 98 69 70 72 99 71 76 100 101 48 52 102 103 73 56 74 60 77 75 78 104 49 53 35 79 50 105 106 57 61 108 34 54 39 51 107 83 58 55 62 33 109 110 43 111 59 32 82 95 38 42 37 81 36 41 40 91 87 86 63 94 90 80 47 46 85 84 45 44 92 88 89 93
