80 0 0
1 2 80 82
80 3 4 83
0 82 81 7
81 83 5 6
6 8 84 86
84 9 10 87
7 86 85 13
85 87 11 12
15 16 88 90
88 17 18 91
14 90 89 21
89 91 19 20
8 22 92 94
92 23 24 95
9 94 93 18
93 95 25 19
4 3 96 98
96 2 26 99
5 98 97 22
97 99 27 23
20 25 100 102
100 24 28 103
21 102 101 14
101 103 29 15
26 30 104 106
104 31 17 107
27 106 105 28
105 107 16 29
30 34 108 110
108 35 13 111
31 110 109 10
109 111 12 11
39 32 112 114
112 33 33 115
38 114 113 34
113 115 32 35
41 36 116 118
116 37 37 119
40 118 117 38
117 119 36 39
40 42 120 122
120 43 44 123
41 122 121 47
121 123 45 46
46 48 124 126
124 49 50 127
47 126 125 53
125 127 51 52
55 56 128 130
128 57 58 131
54 130 129 61
129 131 59 60
48 62 132 134
132 63 64 135
49 134 133 58
133 135 65 59
44 43 136 138
136 42 66 139
45 138 137 62
137 139 67 63
60 65 140 142
140 64 68 143
61 142 141 54
141 143 69 55
66 70 144 146
144 71 57 147
67 146 145 68
145 147 56 69
70 74 148 150
148 75 53 151
71 150 149 50
149 151 52 51
79 72 152 154
152 73 73 155
78 154 153 74
153 155 72 75
0 76 156 158
156 77 77 159
1 158 157 78
157 159 76 79
77 79 76 78 2 0 6 74 72 73 75 1 16 17 3 4 18 19 12 13 29 7 31 5 30 28 14 24 26 15 21 25 20 27 9 11 8 23 10 22 35 34 33 32 37 39 36 38 68 69 42 40 46 57 64 70 65 71 47 45 44 43 41 56 58 59 52 54 53 55 66 49 67 61 63 48 51 60 50 62
