112 0 0
37 42 112 114
112 43 38 115
36 114 113 45
113 115 39 44
44 52 116 118
116 53 46 119
45 118 117 51
117 119 47 50
57 48 120 122
120 49 58 123
56 122 121 46
121 123 59 47
48 60 124 126
124 61 51 127
49 126 125 58
125 127 50 59
52 39 128 130
128 38 54 131
53 130 129 41
129 131 55 40
40 55 132 134
132 54 43 135
41 134 133 56
133 135 42 57
60 70 136 138
136 71 62 139
61 138 137 73
137 139 63 72
89 32 140 142
140 33 90 143
88 142 141 31
141 143 91 30
27 86 144 146
144 87 28 147
26 146 145 85
145 147 29 84
17 91 148 150
148 90 18 151
16 150 149 93
149 151 19 92
9 89 152 154
152 88 10 155
8 154 153 86
153 155 11 87
15 66 156 158
156 67 17 159
14 158 157 65
157 159 16 64
3 74 160 162
160 75 4 163
2 162 161 72
161 163 5 73
95 78 164 166
164 79 96 167
94 166 165 77
165 167 97 76
78 95 168 170
168 94 80 171
79 170 169 92
169 171 81 93
80 63 172 174
172 62 82 175
81 174 173 64
173 175 83 65
66 15 176 178
176 14 68 179
67 178 177 13
177 179 69 12
68 83 180 182
180 82 71 183
69 182 181 84
181 183 70 85
28 11 184 186
184 10 31 187
29 186 185 12
185 187 30 13
96 19 188 190
188 18 98 191
97 190 189 21
189 191 99 20
32 24 192 194
192 25 34 195
33 194 193 23
193 195 35 22
7 25 196 198
196 24 9 199
6 198 197 26
197 199 8 27
34 7 200 202
200 6 37 203
35 202 201 4
201 203 36 5
20 99 204 206
204 98 23 207
21 206 205 1
205 207 22 0
74 3 208 210
208 2 77 211
75 210 209 103
209 211 76 102
107 100 212 214
212 101 101 215
106 214 213 102
213 215 100 103
111 104 216 218
216 105 105 219
110 218 217 106
217 219 104 107
0 108 220 222
220 109 109 223
1 222 221 110
221 223 108 111
14 9 15 11 7 5 18 16 19 17 4 3 20 21 1 10 22 6 2 23 0 8 13 12 44 64 46 65 63 68 61 69 25 24 26 27 71 60 62 47 70 45 67 66 74 35 34 75 73 72 33 43 32 41 42 87 40 85 86 89 84 88 81 30 28 80 31 29 36 38 37 39 59 57 91 51 58 56 90 49 52 50 48 54 96 97 82 83 53 76 55 78 77 79 92 93 95 94 105 104 107 106 110 111 108 109 98 99 102 103 100 101
