88 0 0
11 22 88 90
88 23 12 91
10 90 89 21
89 91 13 20
27 68 92 94
92 69 28 95
26 94 93 71
93 95 29 70
70 29 96 98
96 28 72 99
71 98 97 31
97 99 73 30
67 42 100 102
100 43 69 103
66 102 101 41
101 103 68 40
75 44 104 106
104 45 0 107
74 106 105 47
105 107 1 46
17 43 108 110
108 42 18 111
16 110 109 44
109 111 19 45
9 54 112 114
112 55 11 115
8 114 113 57
113 115 10 56
5 62 116 118
116 63 6 119
4 118 117 65
117 119 7 64
64 2 120 122
120 3 67 123
65 122 121 4
121 123 66 5
18 3 124 126
124 2 21 127
19 126 125 79
125 127 20 78
46 13 128 130
128 12 48 131
47 130 129 15
129 131 49 14
72 17 132 134
132 16 75 135
73 134 133 14
133 135 74 15
51 34 136 138
136 35 52 139
50 138 137 33
137 139 53 32
39 63 140 142
140 62 41 143
38 142 141 61
141 143 40 60
30 24 144 146
144 25 33 147
31 146 145 26
145 147 32 27
34 55 148 150
148 54 36 151
35 150 149 52
149 151 37 53
48 23 152 154
152 22 51 155
49 154 153 24
153 155 50 25
59 39 156 158
156 38 61 159
58 158 157 36
157 159 60 37
56 7 160 162
160 6 59 163
57 162 161 8
161 163 58 9
83 79 164 166
164 78 76 167
82 166 165 76
165 167 77 77
87 83 168 170
168 82 80 171
86 170 169 80
169 171 81 81
0 87 172 174
172 86 84 175
1 174 173 84
173 175 85 85
30 34 28 53 52 54 69 55 35 71 29 14 31 32 68 15 33 73 12 70 13 75 5 4 7 8 72 74 6 26 27 10 24 58 25 61 60 59 63 62 51 49 9 11 48 50 57 56 67 66 65 64 0 1 41 43 2 46 44 20 21 37 36 3 40 42 47 45 22 16 18 19 17 23 38 39 86 84 85 82 80 81 83 87 76 77 78 79
