/Users/scottg/Documents/Codex/2026-09-12/hey/work/knot-venv/lib/python3.14/site-packages/plink/gui.py:33: UserWarning: Plink failed to import tkinter, GUI will not be available
  warnings.warn('Plink failed to import tkinter, GUI will not be available')
{'line': [1, 0], 'self_pairing_mod_q': 9, 'isotropic': False, 'polynomial': 't^6 + (z^11 + z^10 + z^9 + z^7 + z^6 + z^4 + z^3 + z^2 - 4)*t^5 + (-3*z^11 - 3*z^10 - 2*z^9 - 2*z^7 - 2*z^6 - 2*z^4 - 3*z^3 - 3*z^2 + 7)*t^4 + (4*z^11 + 4*z^10 + 2*z^9 + 2*z^7 + 2*z^6 + 2*z^4 + 4*z^3 + 4*z^2 - 8)*t^3 + (-3*z^11 - 3*z^10 - 2*z^9 - 2*z^7 - 2*z^6 - 2*z^4 - 3*z^3 - 3*z^2 + 7)*t^2 + (z^11 + z^10 + z^9 + z^7 + z^6 + z^4 + z^3 + z^2 - 4)*t + 1', 'norm': False, 'simplified_generators': [5, 6, 16, 18, 22, 24], 'seconds': 0.24}
{'line': [1, 1], 'self_pairing_mod_q': 2, 'isotropic': False, 'polynomial': 't^6 + (-z^9 - z^7 - z^6 - z^4 - 5)*t^5 + (z^11 + z^10 + 3*z^9 + 3*z^7 + 3*z^6 + 3*z^4 + z^3 + z^2 + 10)*t^4 + (-2*z^11 - 2*z^10 - 4*z^9 - 4*z^7 - 4*z^6 - 4*z^4 - 2*z^3 - 2*z^2 - 12)*t^3 + (z^11 + z^10 + 3*z^9 + 3*z^7 + 3*z^6 + 3*z^4 + z^3 + z^2 + 10)*t^2 + (-z^9 - z^7 - z^6 - z^4 - 5)*t + 1', 'norm': False, 'simplified_generators': [5, 6, 16, 18, 22, 24], 'seconds': 0.15}
{'line': [1, 2], 'self_pairing_mod_q': 12, 'isotropic': False, 'polynomial': 't^6 + (-z^9 - z^7 - z^6 - z^4 - 5)*t^5 + (z^11 + z^10 + 3*z^9 + 3*z^7 + 3*z^6 + 3*z^4 + z^3 + z^2 + 10)*t^4 + (-2*z^11 - 2*z^10 - 4*z^9 - 4*z^7 - 4*z^6 - 4*z^4 - 2*z^3 - 2*z^2 - 12)*t^3 + (z^11 + z^10 + 3*z^9 + 3*z^7 + 3*z^6 + 3*z^4 + z^3 + z^2 + 10)*t^2 + (-z^9 - z^7 - z^6 - z^4 - 5)*t + 1', 'norm': False, 'simplified_generators': [5, 6, 16, 18, 22, 24], 'seconds': 0.151}
{'line': [1, 3], 'self_pairing_mod_q': 0, 'isotropic': True, 'polynomial': 't^6 + (2*z^11 + 2*z^10 + 2*z^3 + 2*z^2 - 4)*t^5 + (-8*z^11 - 8*z^10 - z^9 - z^7 - z^6 - z^4 - 8*z^3 - 8*z^2 + 10)*t^4 + (12*z^11 + 12*z^10 + 2*z^9 + 2*z^7 + 2*z^6 + 2*z^4 + 12*z^3 + 12*z^2 - 14)*t^3 + (-8*z^11 - 8*z^10 - z^9 - z^7 - z^6 - z^4 - 8*z^3 - 8*z^2 + 10)*t^2 + (2*z^11 + 2*z^10 + 2*z^3 + 2*z^2 - 4)*t + 1', 'norm': True, 'simplified_generators': [5, 6, 16, 18, 22, 24], 'seconds': 0.149}
{'line': [1, 4], 'self_pairing_mod_q': 5, 'isotropic': False, 'polynomial': 't^6 + (z^11 + z^10 + z^9 + z^7 + z^6 + z^4 + z^3 + z^2 - 4)*t^5 + (-3*z^11 - 3*z^10 - 2*z^9 - 2*z^7 - 2*z^6 - 2*z^4 - 3*z^3 - 3*z^2 + 7)*t^4 + (4*z^11 + 4*z^10 + 2*z^9 + 2*z^7 + 2*z^6 + 2*z^4 + 4*z^3 + 4*z^2 - 8)*t^3 + (-3*z^11 - 3*z^10 - 2*z^9 - 2*z^7 - 2*z^6 - 2*z^4 - 3*z^3 - 3*z^2 + 7)*t^2 + (z^11 + z^10 + z^9 + z^7 + z^6 + z^4 + z^3 + z^2 - 4)*t + 1', 'norm': False, 'simplified_generators': [5, 6, 16, 18, 22, 24], 'seconds': 0.148}
{'line': [1, 5], 'self_pairing_mod_q': 1, 'isotropic': False, 'polynomial': 't^6 + (2*z^11 + 2*z^10 + 2*z^3 + 2*z^2 - 4)*t^5 + (-8*z^11 - 8*z^10 - z^9 - z^7 - z^6 - z^4 - 8*z^3 - 8*z^2 + 10)*t^4 + (12*z^11 + 12*z^10 + 2*z^9 + 2*z^7 + 2*z^6 + 2*z^4 + 12*z^3 + 12*z^2 - 14)*t^3 + (-8*z^11 - 8*z^10 - z^9 - z^7 - z^6 - z^4 - 8*z^3 - 8*z^2 + 10)*t^2 + (2*z^11 + 2*z^10 + 2*z^3 + 2*z^2 - 4)*t + 1', 'norm': True, 'simplified_generators': [5, 6, 16, 18, 22, 24], 'seconds': 0.152}
{'line': [1, 6], 'self_pairing_mod_q': 1, 'isotropic': False, 'polynomial': 't^6 + (2*z^11 + 2*z^10 + 2*z^3 + 2*z^2 - 4)*t^5 + (-8*z^11 - 8*z^10 - z^9 - z^7 - z^6 - z^4 - 8*z^3 - 8*z^2 + 10)*t^4 + (12*z^11 + 12*z^10 + 2*z^9 + 2*z^7 + 2*z^6 + 2*z^4 + 12*z^3 + 12*z^2 - 14)*t^3 + (-8*z^11 - 8*z^10 - z^9 - z^7 - z^6 - z^4 - 8*z^3 - 8*z^2 + 10)*t^2 + (2*z^11 + 2*z^10 + 2*z^3 + 2*z^2 - 4)*t + 1', 'norm': True, 'simplified_generators': [5, 6, 16, 18, 22, 24], 'seconds': 0.148}
{'line': [1, 7], 'self_pairing_mod_q': 5, 'isotropic': False, 'polynomial': 't^6 + (z^11 + z^10 + z^9 + z^7 + z^6 + z^4 + z^3 + z^2 - 4)*t^5 + (-3*z^11 - 3*z^10 - 2*z^9 - 2*z^7 - 2*z^6 - 2*z^4 - 3*z^3 - 3*z^2 + 7)*t^4 + (4*z^11 + 4*z^10 + 2*z^9 + 2*z^7 + 2*z^6 + 2*z^4 + 4*z^3 + 4*z^2 - 8)*t^3 + (-3*z^11 - 3*z^10 - 2*z^9 - 2*z^7 - 2*z^6 - 2*z^4 - 3*z^3 - 3*z^2 + 7)*t^2 + (z^11 + z^10 + z^9 + z^7 + z^6 + z^4 + z^3 + z^2 - 4)*t + 1', 'norm': False, 'simplified_generators': [5, 6, 16, 18, 22, 24], 'seconds': 0.148}
{'line': [1, 8], 'self_pairing_mod_q': 0, 'isotropic': True, 'polynomial': 't^6 + (2*z^11 + 2*z^10 + 2*z^3 + 2*z^2 - 4)*t^5 + (-8*z^11 - 8*z^10 - z^9 - z^7 - z^6 - z^4 - 8*z^3 - 8*z^2 + 10)*t^4 + (12*z^11 + 12*z^10 + 2*z^9 + 2*z^7 + 2*z^6 + 2*z^4 + 12*z^3 + 12*z^2 - 14)*t^3 + (-8*z^11 - 8*z^10 - z^9 - z^7 - z^6 - z^4 - 8*z^3 - 8*z^2 + 10)*t^2 + (2*z^11 + 2*z^10 + 2*z^3 + 2*z^2 - 4)*t + 1', 'norm': True, 'simplified_generators': [5, 6, 16, 18, 22, 24], 'seconds': 0.147}
{'line': [1, 9], 'self_pairing_mod_q': 12, 'isotropic': False, 'polynomial': 't^6 + (-z^9 - z^7 - z^6 - z^4 - 5)*t^5 + (z^11 + z^10 + 3*z^9 + 3*z^7 + 3*z^6 + 3*z^4 + z^3 + z^2 + 10)*t^4 + (-2*z^11 - 2*z^10 - 4*z^9 - 4*z^7 - 4*z^6 - 4*z^4 - 2*z^3 - 2*z^2 - 12)*t^3 + (z^11 + z^10 + 3*z^9 + 3*z^7 + 3*z^6 + 3*z^4 + z^3 + z^2 + 10)*t^2 + (-z^9 - z^7 - z^6 - z^4 - 5)*t + 1', 'norm': False, 'simplified_generators': [5, 6, 16, 18, 22, 24], 'seconds': 0.151}
{'line': [1, 10], 'self_pairing_mod_q': 2, 'isotropic': False, 'polynomial': 't^6 + (-z^9 - z^7 - z^6 - z^4 - 5)*t^5 + (z^11 + z^10 + 3*z^9 + 3*z^7 + 3*z^6 + 3*z^4 + z^3 + z^2 + 10)*t^4 + (-2*z^11 - 2*z^10 - 4*z^9 - 4*z^7 - 4*z^6 - 4*z^4 - 2*z^3 - 2*z^2 - 12)*t^3 + (z^11 + z^10 + 3*z^9 + 3*z^7 + 3*z^6 + 3*z^4 + z^3 + z^2 + 10)*t^2 + (-z^9 - z^7 - z^6 - z^4 - 5)*t + 1', 'norm': False, 'simplified_generators': [5, 6, 16, 18, 22, 24], 'seconds': 0.169}
{'line': [1, 11], 'self_pairing_mod_q': 9, 'isotropic': False, 'polynomial': 't^6 + (z^11 + z^10 + z^9 + z^7 + z^6 + z^4 + z^3 + z^2 - 4)*t^5 + (-3*z^11 - 3*z^10 - 2*z^9 - 2*z^7 - 2*z^6 - 2*z^4 - 3*z^3 - 3*z^2 + 7)*t^4 + (4*z^11 + 4*z^10 + 2*z^9 + 2*z^7 + 2*z^6 + 2*z^4 + 4*z^3 + 4*z^2 - 8)*t^3 + (-3*z^11 - 3*z^10 - 2*z^9 - 2*z^7 - 2*z^6 - 2*z^4 - 3*z^3 - 3*z^2 + 7)*t^2 + (z^11 + z^10 + z^9 + z^7 + z^6 + z^4 + z^3 + z^2 - 4)*t + 1', 'norm': False, 'simplified_generators': [5, 6, 16, 18, 22, 24], 'seconds': 0.152}
