/Users/scottg/Documents/Codex/2026-09-12/hey/work/knot-venv/lib/python3.14/site-packages/plink/gui.py:33: UserWarning: Plink failed to import tkinter, GUI will not be available
  warnings.warn('Plink failed to import tkinter, GUI will not be available')
first 3 retained 1 second 2001 endpoints 0 hits []
first 13 retained 2 second 4002 endpoints 0 hits []
first 36 retained 3 second 4175 endpoints 1 hits [['K0']]
first 47 retained 4 second 6129 endpoints 1 hits [['K0']]
first 50 retained 5 second 8130 endpoints 1 hits [['K0']]
first 68 retained 6 second 10131 endpoints 1 hits [['K0']]
first 72 retained 7 second 12132 endpoints 1 hits [['K0']]
first 98 retained 8 second 14133 endpoints 1 hits [['K0']]
first 114 retained 9 second 16134 endpoints 1 hits [['K0']]
first 127 retained 10 second 18135 endpoints 1 hits [['K0']]
first 242 retained 11 second 20136 endpoints 1 hits [['K0']]
first 296 retained 12 second 22137 endpoints 1 hits [['K0']]
first 306 retained 13 second 24138 endpoints 1 hits [['K0']]
first 315 retained 14 second 26139 endpoints 1 hits [['K0']]
first 326 retained 15 second 28140 endpoints 1 hits [['K0']]
first 369 retained 16 second 30141 endpoints 1 hits [['K0']]
first 380 retained 17 second 32142 endpoints 1 hits [['K0']]
first 388 retained 18 second 34143 endpoints 1 hits [['K0']]
first 394 retained 19 second 36144 endpoints 1 hits [['K0']]
first 415 retained 20 second 38145 endpoints 1 hits [['K0']]
first 442 retained 21 second 40146 endpoints 1 hits [['K0']]
first 466 retained 22 second 42147 endpoints 1 hits [['K0']]
first 484 retained 23 second 44148 endpoints 1 hits [['K0']]
first 492 retained 24 second 46149 endpoints 1 hits [['K0']]
first 497 retained 25 second 48150 endpoints 1 hits [['K0']]
first 522 retained 26 second 50151 endpoints 1 hits [['K0']]
first 544 retained 27 second 52152 endpoints 1 hits [['K0']]
first 546 retained 28 second 54153 endpoints 1 hits [['K0']]
first 554 retained 29 second 56154 endpoints 1 hits [['K0']]
first 557 retained 30 second 58155 endpoints 1 hits [['K0']]
first 573 retained 31 second 60156 endpoints 1 hits [['K0']]
first 576 retained 32 second 62157 endpoints 1 hits [['K0']]
first 608 retained 33 second 64158 endpoints 1 hits [['K0']]
first 613 retained 34 second 66159 endpoints 1 hits [['K0']]
first 619 retained 35 second 68160 endpoints 1 hits [['K0']]
first 630 retained 36 second 70161 endpoints 1 hits [['K0']]
first 667 retained 37 second 72162 endpoints 1 hits [['K0']]
first 681 retained 38 second 74163 endpoints 1 hits [['K0']]
first 696 retained 39 second 76164 endpoints 1 hits [['K0']]
first 703 retained 40 second 78165 endpoints 1 hits [['K0']]
first 705 retained 41 second 80166 endpoints 1 hits [['K0']]
first 730 retained 42 second 82167 endpoints 1 hits [['K0']]
first 742 retained 43 second 84168 endpoints 1 hits [['K0']]
first 754 retained 44 second 86169 endpoints 1 hits [['K0']]
first 803 retained 45 second 88170 endpoints 1 hits [['K0']]
first 807 retained 46 second 90171 endpoints 1 hits [['K0']]
first 831 retained 47 second 92172 endpoints 1 hits [['K0']]
first 860 retained 48 second 94173 endpoints 1 hits [['K0']]
first 872 retained 49 second 96174 endpoints 1 hits [['K0']]
first 907 retained 50 second 98175 endpoints 1 hits [['K0']]
first 923 retained 51 second 100176 endpoints 1 hits [['K0']]
first 925 retained 52 second 102177 endpoints 1 hits [['K0']]
first 934 retained 53 second 104178 endpoints 1 hits [['K0']]
first 943 retained 54 second 106179 endpoints 1 hits [['K0']]
first 970 retained 55 second 108180 endpoints 1 hits [['K0']]
first 1036 retained 56 second 110181 endpoints 1 hits [['K0']]
first 1065 retained 57 second 112182 endpoints 1 hits [['K0']]
first 1069 retained 58 second 114183 endpoints 1 hits [['K0']]
first 1092 retained 59 second 116184 endpoints 1 hits [['K0']]
first 1094 retained 60 second 118185 endpoints 1 hits [['K0']]
first 1103 retained 61 second 120186 endpoints 1 hits [['K0']]
first 1124 retained 62 second 122187 endpoints 1 hits [['K0']]
first 1137 retained 63 second 124188 endpoints 1 hits [['K0']]
first 1163 retained 64 second 126189 endpoints 1 hits [['K0']]
first 1183 retained 65 second 128190 endpoints 1 hits [['K0']]
first 1187 retained 66 second 130191 endpoints 1 hits [['K0']]
first 1195 retained 67 second 132192 endpoints 1 hits [['K0']]
first 1217 retained 68 second 134193 endpoints 1 hits [['K0']]
first 1225 retained 69 second 136194 endpoints 1 hits [['K0']]
first 1227 retained 70 second 138195 endpoints 1 hits [['K0']]
first 1234 retained 71 second 140196 endpoints 1 hits [['K0']]
first 1240 retained 72 second 142197 endpoints 1 hits [['K0']]
first 1257 retained 73 second 144198 endpoints 1 hits [['K0']]
first 1261 retained 74 second 146199 endpoints 1 hits [['K0']]
first 1264 retained 75 second 148200 endpoints 1 hits [['K0']]
first 1272 retained 76 second 150201 endpoints 1 hits [['K0']]
first 1283 retained 77 second 152202 endpoints 1 hits [['K0']]
first 1284 retained 78 second 154203 endpoints 1 hits [['K0']]
first 1289 retained 79 second 156204 endpoints 1 hits [['K0']]
first 1312 retained 80 second 158205 endpoints 1 hits [['K0']]
first 1316 retained 81 second 160206 endpoints 1 hits [['K0']]
first 1334 retained 82 second 162207 endpoints 1 hits [['K0']]
first 1342 retained 83 second 164208 endpoints 1 hits [['K0']]
first 1360 retained 84 second 166209 endpoints 1 hits [['K0']]
first 1368 retained 85 second 168210 endpoints 1 hits [['K0']]
first 1378 retained 86 second 170211 endpoints 1 hits [['K0']]
first 1382 retained 87 second 172212 endpoints 1 hits [['K0']]
first 1399 retained 88 second 174213 endpoints 1 hits [['K0']]
first 1420 retained 89 second 176214 endpoints 1 hits [['K0']]
