/usr/local/lib/python3.11/dist-packages/plink/gui.py:33: UserWarning: Plink failed to import tkinter, GUI will not be available
  warnings.warn('Plink failed to import tkinter, GUI will not be available')
first 3 retained 1 second 2001 endpoints 0 hits []
first 47 retained 2 second 3955 endpoints 1 hits [['K0']]
first 127 retained 3 second 5956 endpoints 1 hits [['K0']]
first 299 retained 4 second 6129 endpoints 1 hits [['K0']]
first 315 retained 5 second 8130 endpoints 1 hits [['K0']]
first 415 retained 6 second 10131 endpoints 1 hits [['K0']]
first 619 retained 7 second 12132 endpoints 1 hits [['K0']]
first 667 retained 8 second 14133 endpoints 1 hits [['K0']]
first 703 retained 9 second 16134 endpoints 1 hits [['K0']]
first 803 retained 10 second 18135 endpoints 1 hits [['K0']]
first 807 retained 11 second 20136 endpoints 1 hits [['K0']]
first 831 retained 12 second 22137 endpoints 1 hits [['K0']]
first 907 retained 13 second 24138 endpoints 1 hits [['K0']]
first 923 retained 14 second 26139 endpoints 1 hits [['K0']]
first 943 retained 15 second 28140 endpoints 1 hits [['K0']]
first 1103 retained 16 second 30141 endpoints 1 hits [['K0']]
first 1163 retained 17 second 32142 endpoints 1 hits [['K0']]
first 1183 retained 18 second 34143 endpoints 1 hits [['K0']]
first 1187 retained 19 second 36144 endpoints 1 hits [['K0']]
first 1195 retained 20 second 38145 endpoints 1 hits [['K0']]
first 1227 retained 21 second 40146 endpoints 1 hits [['K0']]
first 1283 retained 22 second 42147 endpoints 1 hits [['K0']]
first 1399 retained 23 second 44148 endpoints 1 hits [['K0']]
first 1439 retained 24 second 46149 endpoints 1 hits [['K0']]
first 1475 retained 25 second 48150 endpoints 1 hits [['K0']]
first 1631 retained 26 second 50151 endpoints 1 hits [['K0']]
first 1675 retained 27 second 52152 endpoints 1 hits [['K0']]
first 1775 retained 28 second 54153 endpoints 1 hits [['K0']]
first 1783 retained 29 second 56154 endpoints 1 hits [['K0']]
first 1835 retained 30 second 58155 endpoints 1 hits [['K0']]
first 2091 retained 31 second 60156 endpoints 1 hits [['K0']]
first 2111 retained 32 second 62157 endpoints 1 hits [['K0']]
first 2175 retained 33 second 64158 endpoints 1 hits [['K0']]
first 2187 retained 34 second 66159 endpoints 1 hits [['K0']]
first 2207 retained 35 second 68160 endpoints 1 hits [['K0']]
first 2319 retained 36 second 70161 endpoints 1 hits [['K0']]
first 2363 retained 37 second 72162 endpoints 1 hits [['K0']]
first 2367 retained 38 second 74163 endpoints 1 hits [['K0']]
first 2479 retained 39 second 76164 endpoints 1 hits [['K0']]
first 2523 retained 40 second 78165 endpoints 1 hits [['K0']]
first 2579 retained 41 second 80166 endpoints 1 hits [['K0']]
first 2695 retained 42 second 82167 endpoints 1 hits [['K0']]
first 2899 retained 43 second 84168 endpoints 1 hits [['K0']]
first 2947 retained 44 second 86169 endpoints 1 hits [['K0']]
first 2963 retained 45 second 88170 endpoints 1 hits [['K0']]
first 3007 retained 46 second 90171 endpoints 1 hits [['K0']]
first 3091 retained 47 second 92172 endpoints 1 hits [['K0']]
first 3135 retained 48 second 94173 endpoints 1 hits [['K0']]
first 3155 retained 49 second 96174 endpoints 1 hits [['K0']]
first 3183 retained 50 second 98175 endpoints 1 hits [['K0']]
first 3239 retained 51 second 100176 endpoints 1 hits [['K0']]
first 3327 retained 52 second 102177 endpoints 1 hits [['K0']]
first 3355 retained 53 second 104178 endpoints 1 hits [['K0']]
