/private/tmp/sr-foxy-20260919-leads-venv/lib/python3.11/site-packages/plink/gui.py:33: UserWarning: Plink failed to import tkinter, GUI will not be available
  warnings.warn('Plink failed to import tkinter, GUI will not be available')
{'face': 1, 'band': '7f72_0_-2', 'twists': -2, 'red_components': {'A': 2, 'I': 1}, 'volume': 23.214420566701474, 'volume_difference': -0.6304792288617449, 'solution_type': 'all tetrahedra positively oriented', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
{'face': 1, 'band': '7f72_0_0', 'twists': 0, 'red_components': {'A': 2, 'I': 1}, 'volume': 15.964088107158238, 'volume_difference': -7.880811688404981, 'solution_type': 'contains negatively oriented tetrahedra', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
{'face': 1, 'band': '7f72_0_2', 'twists': 2, 'red_components': {'A': 2, 'I': 1}, 'volume': 24.543443075439885, 'volume_difference': 0.6985432798766666, 'solution_type': 'all tetrahedra positively oriented', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
{'face': 1, 'band': '7f6a_0_-2', 'twists': -2, 'red_components': {'A': 2, 'I': 1}, 'volume': 20.185998979025495, 'volume_difference': -3.6589008165377237, 'solution_type': 'all tetrahedra positively oriented', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
{'face': 1, 'band': '7f6a_0_0', 'twists': 0, 'red_components': {'A': 2, 'I': 1}, 'volume': 18.176025136323698, 'volume_difference': -5.6688746592395205, 'solution_type': 'all tetrahedra positively oriented', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
{'face': 1, 'band': '7f6a_0_2', 'twists': 2, 'red_components': {'A': 2, 'I': 1}, 'volume': 24.8528325182368, 'volume_difference': 1.00793272267358, 'solution_type': 'all tetrahedra positively oriented', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
{'face': 1, 'band': '7f62_0_-2', 'twists': -2, 'red_components': {'A': 2, 'I': 1}, 'volume': 19.346835459403593, 'volume_difference': -4.498064336159626, 'solution_type': 'all tetrahedra positively oriented', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
{'face': 1, 'band': '7f62_0_0', 'twists': 0, 'red_components': {'A': 2, 'I': 1}, 'volume': 20.412804120220198, 'volume_difference': -3.432095675343021, 'solution_type': 'all tetrahedra positively oriented', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
{'face': 1, 'band': '7f62_0_2', 'twists': 2, 'red_components': {'A': 2, 'I': 1}, 'volume': 25.827118720475152, 'volume_difference': 1.9822189249119333, 'solution_type': 'all tetrahedra positively oriented', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
{'face': 2, 'band': '0546_0_-2', 'twists': -2, 'red_components': {'A': 1, 'I': 2}, 'volume': 20.636636504926273, 'volume_difference': -3.208263290636946, 'solution_type': 'all tetrahedra positively oriented', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
{'face': 2, 'band': '0546_0_0', 'twists': 0, 'red_components': {'A': 2, 'I': 1}, 'volume': 19.442606225699414, 'volume_difference': -4.402293569863804, 'solution_type': 'contains negatively oriented tetrahedra', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
{'face': 2, 'band': '0546_0_2', 'twists': 2, 'red_components': {'A': 1, 'I': 2}, 'volume': 25.6566279679907, 'volume_difference': 1.8117281724274825, 'solution_type': 'contains negatively oriented tetrahedra', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
{'face': 4, 'band': '7823_0_-2', 'twists': -2, 'red_components': {'A': 1, 'I': 2}, 'volume': 25.6566279679907, 'volume_difference': 1.8117281724274825, 'solution_type': 'all tetrahedra positively oriented', 'status': 'COMPLETED_NUMERICAL_SCREEN'}
