{'label': 'unlink', 'cycle': 0, 'seconds': 0.7070364588871598, 'exit_code': 0}
{'label': 'split_trefoil', 'cycle': 0, 'seconds': 0.48603120795451105, 'exit_code': 0}
{'label': 'split_trefoil', 'cycle': 1, 'seconds': 0.48222204111516476, 'exit_code': 0}
{'label': 'L10n36', 'cycle': 1, 'seconds': 0.5921852909959853, 'exit_code': 0}
{'label': 'L5a1', 'cycle': 0, 'seconds': 0.4659677091985941, 'exit_code': 0}
{'label': 'L5a1', 'cycle': 1, 'seconds': 0.46876716683618724, 'exit_code': 0}
{'label': 'GST1', 'cycle': 0, 'seconds': 0.4883279169443995, 'exit_code': 0}
{'label': 'GST1', 'cycle': 1, 'seconds': 0.6664672498591244, 'exit_code': 0}
{'label': 'GST2', 'cycle': 0, 'seconds': 6.26822108309716, 'exit_code': 0}
{'label': 'GST2', 'cycle': 1, 'seconds': 1.0495841670781374, 'exit_code': 0}
{'label': 'GST3', 'cycle': 0, 'seconds': 45.181514708092436, 'status': 'TIMEOUT_45_SECONDS_INCONCLUSIVE'}
{'label': 'GST3', 'cycle': 1, 'seconds': 45.26644333289005, 'status': 'TIMEOUT_45_SECONDS_INCONCLUSIVE'}
