54 0 0
26 33 36 42
36 34 37 43
37 35 27 44
25 42 38 45
38 43 39 46
39 44 28 47
24 45 40 2
40 46 41 1
41 47 29 0
0 12 48 54
48 13 49 55
49 14 3 56
1 54 50 57
50 55 51 58
51 56 4 59
2 57 52 11
52 58 53 10
53 59 5 9
20 6 60 66
60 7 61 67
61 8 21 68
19 66 62 69
62 67 63 70
63 68 22 71
18 69 64 3
64 70 65 4
65 71 23 5
6 26 72 78
72 25 73 79
73 24 11 80
7 78 74 81
74 79 75 82
75 80 10 83
8 81 76 21
76 82 77 22
77 83 9 23
12 29 84 90
84 28 85 91
85 27 15 92
13 90 86 93
86 91 87 94
87 92 16 95
14 93 88 32
88 94 89 31
89 95 17 30
30 17 96 102
96 16 97 103
97 15 35 104
31 102 98 105
98 103 99 106
99 104 34 107
32 105 100 18
100 106 101 19
101 107 33 20
43 40 44 41 45 48 46 49 39 42 51 52 38 47 37 2 36 50 1 5 4 8 7 53 9 12 0 3 10 6 11 24 21 15 18 27 29 28 13 16 14 32 31 30 17 19 25 22 26 35 34 23 33 20
