/usr/local/lib/python3.11/dist-packages/plink/gui.py:33: UserWarning: Plink failed to import tkinter, GUI will not be available
  warnings.warn('Plink failed to import tkinter, GUI will not be available')
first 36 retained 1 second 173 endpoints 1 hits [['K0']]
first 60 retained 2 second 2174 endpoints 1 hits [['K0']]
first 68 retained 3 second 4175 endpoints 1 hits [['K0']]
first 72 retained 4 second 6176 endpoints 1 hits [['K0']]
first 296 retained 5 second 8177 endpoints 1 hits [['K0']]
first 372 retained 6 second 10131 endpoints 1 hits [['K0']]
first 380 retained 7 second 12132 endpoints 1 hits [['K0']]
first 388 retained 8 second 14133 endpoints 1 hits [['K0']]
first 484 retained 9 second 16134 endpoints 1 hits [['K0']]
first 492 retained 10 second 18135 endpoints 1 hits [['K0']]
first 544 retained 11 second 20136 endpoints 1 hits [['K0']]
first 576 retained 12 second 22137 endpoints 1 hits [['K0']]
first 608 retained 13 second 24138 endpoints 1 hits [['K0']]
first 696 retained 14 second 26139 endpoints 1 hits [['K0']]
first 860 retained 15 second 28140 endpoints 1 hits [['K0']]
first 872 retained 16 second 30141 endpoints 1 hits [['K0']]
first 1036 retained 17 second 32142 endpoints 1 hits [['K0']]
first 1092 retained 18 second 34143 endpoints 1 hits [['K0']]
first 1124 retained 19 second 36144 endpoints 1 hits [['K0']]
first 1240 retained 20 second 38145 endpoints 1 hits [['K0']]
first 1264 retained 21 second 40146 endpoints 1 hits [['K0']]
first 1272 retained 22 second 42147 endpoints 1 hits [['K0']]
first 1284 retained 23 second 44148 endpoints 1 hits [['K0']]
first 1312 retained 24 second 46149 endpoints 1 hits [['K0']]
first 1316 retained 25 second 48150 endpoints 1 hits [['K0']]
first 1360 retained 26 second 50151 endpoints 1 hits [['K0']]
first 1368 retained 27 second 52152 endpoints 1 hits [['K0']]
first 1420 retained 28 second 54153 endpoints 1 hits [['K0']]
first 1424 retained 29 second 56154 endpoints 1 hits [['K0']]
first 1448 retained 30 second 58155 endpoints 1 hits [['K0']]
first 1480 retained 31 second 60156 endpoints 1 hits [['K0']]
first 1484 retained 32 second 62157 endpoints 1 hits [['K0']]
first 1596 retained 33 second 64158 endpoints 1 hits [['K0']]
first 1712 retained 34 second 66159 endpoints 1 hits [['K0']]
first 1716 retained 35 second 68160 endpoints 1 hits [['K0']]
first 1788 retained 36 second 70161 endpoints 1 hits [['K0']]
first 1804 retained 37 second 72162 endpoints 1 hits [['K0']]
first 1840 retained 38 second 74163 endpoints 1 hits [['K0']]
first 1856 retained 39 second 76164 endpoints 1 hits [['K0']]
first 1884 retained 40 second 78165 endpoints 1 hits [['K0']]
first 2004 retained 41 second 80166 endpoints 1 hits [['K0']]
first 2120 retained 42 second 82167 endpoints 1 hits [['K0']]
first 2124 retained 43 second 84168 endpoints 1 hits [['K0']]
first 2196 retained 44 second 86169 endpoints 1 hits [['K0']]
first 2204 retained 45 second 88170 endpoints 1 hits [['K0']]
first 2216 retained 46 second 90171 endpoints 1 hits [['K0']]
first 2264 retained 47 second 92172 endpoints 1 hits [['K0']]
first 2372 retained 48 second 94173 endpoints 1 hits [['K0']]
first 2556 retained 49 second 96174 endpoints 1 hits [['K0']]
first 2720 retained 50 second 98175 endpoints 1 hits [['K0']]
first 2796 retained 51 second 100176 endpoints 1 hits [['K0']]
first 2804 retained 52 second 102177 endpoints 1 hits [['K0']]
first 2920 retained 53 second 104178 endpoints 1 hits [['K0']]
first 2928 retained 54 second 106179 endpoints 1 hits [['K0']]
first 2932 retained 55 second 108180 endpoints 1 hits [['K0']]
first 3016 retained 56 second 110181 endpoints 1 hits [['K0']]
first 3028 retained 57 second 112182 endpoints 1 hits [['K0']]
